a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
569217841,106.5,7.96,10293830,1,2012-05-02 16:05:12,False,False,82569.31391108624,4,0.590504451039,True,furiousagustina,15,1,0,0,0,8674,0,3.48760330579,10.5,1348,0,False
775292271226912769,132.25,8.61,42703050,2,2016-09-12 11:17:36,True,False,364794.22909978987,0,0.478865406007,True,canalsaturnoATV,15,1,0,0,0,1436,0,0.545064377682,14.5,1798,0,False
143175925,83.0,10.3,23888791200,3,2010-05-12 20:06:16,True,False,88414954.17743643,0,0.858333333333,True,joseantoniobern,15,1,0,0,0,11,0,17.4666666667,12.4,120,0,False
392787676,135.1,9.41,176046090,2,2011-10-17 15:32:57,False,False,923367.0092505729,0,0.472152533869,True,MondoAragon,11,1,0,0,0,2166,0,0.135559921415,11.9,1993,0,False
982970583175585792,108.05,8.93,12439560,1,2018-04-08 13:17:04,True,False,75139.10931126346,3,0.579493835172,True,provocataire,12,1,0,0,0,420,0,5.83928571429,11.0,1541,0,False
983055204462579712,127.8,10.72,62943150,2,2018-04-08 18:53:19,True,False,925155.1481427805,1,0.566296883254,True,_chemasalvador,14,0,0,0,0,116,0,2.41134751773,12.2,1893,0,False
325817556,117.4,11.09,122142520,2,2011-06-28 22:39:39,False,False,779566.0043483747,0,0.581541688516,True,cmilsc,6,1,0,0,0,759,0,3.25806451613,12.4,1907,0,False
750964548811755520,115.5,9.21,53799570,1,2016-07-07 08:07:55,True,False,486239.1536393871,0,0.567467652495,True,PAlmozara,9,1,0,0,0,510,0,0.955284552846,12.0,1623,0,False
981613265078902791,0,0,0,0,2018-04-04 19:23:34,True,False,0,0,0,True,Sus04407492,11,0,0,0,0,0,0,0,0,0,0,False
153713397,127.0,8.96,103675490,2,2010-06-09 07:42:26,False,False,43507.390896576406,0,0.568527918782,True,insolenzia,10,1,0,0,0,8767,0,0.893658920835,11.1,1576,0,False
1134659179,134.0,11.05,24243480,1,2013-01-30 17:12:34,True,False,244724.74450680797,0,0.520489872821,True,Santiggarr,10,1,0,0,0,1257,0,3.00242718447,11.9,2123,0,False
3587146517,118.6,8.76,11991570,1,2015-09-08 11:32:09,True,False,79788.67347717658,2,0.576695194207,True,marta_lop23,11,0,0,0,0,1325,0,5.06818181818,12.0,1519,0,False
200200911,97.75,9.68,914902470,2,2010-10-08 18:03:00,True,False,6108112.335247492,0,0.55632183908,True,Sidor0,6,0,0,0,0,136,0,4.32780847145,10.5,1740,0,False
1311752700,44.0,6.0,4496101666,1,2013-03-28 21:29:45,True,False,6166369.546563593,0,0.947368421053,True,aisair76,8,0,0,0,1,3,0,47.0,11.2,19,0,False
980451752347602944,140.11111111111111,16.4444444444,287870222,1,2018-04-01 14:28:08,True,False,849182.1787261983,0,0.729064039409,True,FonollEladi,11,1,0,0,1,9,0,31.0,10.4,203,0,False
214594733,132.5,10.39,39896690,1,2010-11-11 19:40:14,False,False,493008.3050983421,0,0.580446927374,True,Luisdeixeia,11,1,0,0,0,7126,0,2.7251414713,12.3,1790,0,False
810517950276870148,109.3,9.25,13199050,1,2016-12-18 16:11:52,True,False,209360.33028346128,0,0.572755417957,True,fesemo20001,11,0,0,0,0,1466,0,8.4,10.5,1615,0,False
1576198892,111.5,11.49,4369330,1,2013-07-07 22:39:55,True,False,8418.573853539565,29,0.617078410311,True,Kaesarito,9,1,0,0,0,7543,0,4.39037433155,12.2,1862,0,False
2468114163,118.1,9.92,74196200,1,2014-04-07 20:29:17,True,False,308696.20802034484,0,0.584905660377,True,Geografia_VL,12,0,0,0,0,2439,0,1.51271186441,12.1,1696,0,False
1490703114,94.7,8.62,1441819740,1,2013-06-07 16:07:10,False,False,22699493.77384907,0,0.612651030561,True,McSanz77,8,0,0,0,0,113,0,4.03571428571,9.8,1407,0,False
386430684,114.9,10.46,134965500,2,2011-10-07 08:34:46,False,False,1447392.004705991,0,0.621140142518,True,Beatriz_Serna_A,15,0,0,0,0,1284,0,2.43666666667,13.6,1684,0,False
138191758,91.3,8.75,106831700,1,2010-04-28 21:56:21,True,False,752080.8848287795,0,0.631768953069,True,mateumarcel,11,1,0,0,0,1484,0,4.31366459627,12.1,1385,0,False
1254012222,106.2,5.08,2167403933,2,2013-03-09 10:30:25,False,False,7027687.926758574,0,0.349862258953,True,LIBRERIAANABEL,14,1,0,0,0,75,0,2.875,12.0,1089,0,False
3385287075,110.10526315789474,9.76,474664110,2,2015-07-21 02:45:02,True,False,7436671.617475226,0,0.637908496732,True,joseangel_bcn,13,0,0,0,0,446,0,5.0989010989,10.8,1530,0,False
973543310395695105,137.15,8.07,74970460,1,2018-03-13 12:56:27,True,False,726206.311001908,0,0.469732246799,True,joterosInforma,14,1,0,0,0,108,0,8.68695652174,11.6,1718,0,False
918434274705072128,90.65,5.89,45523540,2,2017-10-12 11:12:49,True,False,177562.31554056596,4,0.480424143556,True,BajoaragonMudo,14,1,0,0,0,1583,0,3.39285714286,12.7,1226,0,False
2267015483,115.25,10.46,16419620,1,2014-01-07 14:27:41,True,False,87829.78677605622,1,0.566630552546,True,oscarpayola,11,1,0,0,0,2898,0,3.13953488372,11.3,1846,0,False
525759974,118.8,9.91,226463840,1,2012-03-15 21:19:05,False,False,1262643.566688449,0,0.566285714286,True,sobrarbe,8,1,0,0,0,837,0,1.3115942029,11.6,1750,0,False
2860312576,106.1,10.76,172964990,2,2014-11-04 10:16:57,False,False,1633247.7429495472,0,0.61874640598,True,AlambiqOy,9,1,0,0,0,1204,0,0.970443349754,11.6,1739,0,False
26480449,133.9,12.38,97170340,1,2009-03-25 11:58:55,False,False,313587.5844608807,0,0.612568035626,True,mamengracia,11,1,0,0,0,1110,0,2.30434782609,10.5,2021,0,False
768035083005652992,79.7,6.74,22603460,1,2016-08-23 10:40:07,True,False,90786.74558671821,2,0.628145386766,True,Mariitima7,10,0,0,0,0,3538,0,1.35353535354,9.8,1073,0,False
137026950,66.45,4.91,22339270,4,2010-04-25 15:31:26,False,False,122282.56541796954,1,0.644356955381,True,cazagra,7,1,0,0,0,8086,0,0.0441796250545,11.4,762,0,False
933243379122552833,118.75,9.11,76672330,3,2017-11-22 07:58:55,False,False,784410.3327443488,0,0.578412698413,True,CafeconArte,11,1,0,0,0,115,0,1.03603603604,12.0,1575,0,False
348378142,116.53333333333333,8.92,1689455240,1,2011-08-04 09:59:38,False,False,53446813.476081744,0,0.578094620868,True,SusanaBarranco,14,1,0,0,0,837,0,9.87121212121,11.6,1543,0,False
